Power,Reactivity,Power Coefficient,Power Defect
127.8050672,1.57295202,0,0
259.7100709,0.002989658704463046,-0.011902219910218136,-1.569962361295537
532.4087971,0.004886258782654495,0.000006954928263216247,0.001896600078191449
1074.457753,0.004480230342704646,-7.490623042999746e-7,-0.00040602843994984924
2173.822664,0.004480230342704646,0,0
4376.020841,0.004245065124403653,-1.0678658295020132e-7,-0.0002351652183009926
8847.955546,0.004245065124403653,0,0
17833.82942,0.003935227701741532,-3.448049983859822e-8,-0.0003098374226621209
35810.62695,0.00358622720029424,-1.9413941825003826e-8,-0.00034900050144729246
71683.20715,0.0030459581261800136,-1.5060780994901124e-8,-0.0005402690741142265
143867.5251,0.0015998464011091863,-2.0033599625787244e-8,-0.0014461117250708273
